User ID,LOCATION,CLASS,SMS
 travelenthusiast1, Sydney,spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow
 foodlover123, Mumbai,spam,08714712388 between 10am-7pm Cost 10p
 musiclover789, Berlin,spam,"09066362231 URGENT! Your mobile No 07xxxxxxxxx won a Â£2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP!"
 user789, Toronto,spam,"0A$NETWORKS allow companies to bill for SMS, so they are responsible for their ""suppliers"", just as a shop has to give a guarantee on what they sell. B. G."
 thrillseeker1, Orlando,ham,"1.20 that call cost. Which i guess isnt bad. Miss ya, need ya, want ya, love ya"
 buyer123, Chicago,ham,10 min later k...
 musicfan456, Paris,spam,100 dating service cal;l 09064012103 box334sk38ch
 user1234, Sydney,spam,"1000's flirting NOW! Txt GIRL or BLOKE & ur NAME & AGE, eg GIRL ZOE 18 to 8007 to join and get chatting!"
 cinephile789, Los Angeles,spam,1000's of girls many local 2 u who r virgins 2 this & r ready 2 4fil ur every sexual need. Can u 4fil theirs? text CUTE to 69911(Â£1.50p. m)
 shopper456, New York,spam,18 days to Euro2004 kickoff! U will be kept informed of all the latest news and results daily. Unsubscribe send GET EURO STOP to 83222.
 booklover123, London,spam,18 days to Euro2004 kickoff! U will be kept informed of all the latest news and results daily. Unsubscribe send GET EURO STOP to 83222.
 buyer789, San Francisco,spam,1st wk FREE! Gr8 tones str8 2 u each wk. Txt NOKIA ON to 8007 for Classic Nokia tones or HIT ON to 8007 for Polys. Nokia/150p Poly/200p 16+
 traveler456, Sydney,spam,2/2 146tf150p
 traveladdict1, Paris,spam,22 days to kick off! For Euro2004 U will be kept up to date with the latest news and results daily. To be removed send GET TXT STOP to 83222
 foodie789, Mumbai,spam,25p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.
 gymrat123, Berlin,spam,2p per min to call Germany 08448350055 from your BT line. Just 2p per min. Check PlanetTalkInstant.com for info & T's & C's. Text stop to opt out
 user987, Toronto,spam,"3 FREE TAROT TEXTS! Find out about your love life now! TRY 3 FOR FREE! Text CHANCE to 85555 16 only! After 3 Free, Msgs Â£1.50 each"
 thrillseeker2, Orlando,spam,3. You have received your mobile content. Enjoy
 customer123, Chicago,ham,4 oclock at mine. Just to bash out a flat plan.
 musiclover987, London,spam,"44 7732584351, Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705."
 user7890, Sydney,spam,"449050000301 You have won a Â£2,000 price! To claim, call 09050000301."
 foodie123, Paris,spam,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free on 08000938767 to update now! or2stoptxt
 shopper246, Los Angeles,spam,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free on 08000938767 to update now! or2stoptxt
 bookworm567, London,spam,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths+? Call MobilesDirect free on 08000938767 to update now! or2stoptxt T&Cs
 shopper7890, New York,spam,"5 Free Top Polyphonic Tones call 087018728737, National Rate. Get a toppoly tune sent every week, just text SUBPOLY to 81618, Â£3 per pole. UnSub 08718727870."
 user9876, San Francisco,spam,500 free text msgs. Just text ok to 80488 and we'll credit your account
 musiclover7890, Sydney,spam,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY Â£1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18"
 foodcritic123, Mumbai,spam,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY Â£1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION"
 playlistlover456, Berlin,spam,5p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.
 user24680, Toronto,ham,7 at esplanade.. Do Ã¼ mind giving me a lift cos i got no car today..
 thrillseeker789, Orlando,spam,74355 XMAS iscoming & ur awarded either Â£500 CD gift vouchers & free entry 2 r Â£100 weekly draw txt MUSIC to 87066 TnC
 buyer7890, Chicago,ham,"8 at the latest, g's still there if you can scrounge up some ammo and want to give the new ak a try"
 musicfan567, London,spam,8007 25p 4 Alfie Moon's Children in Need song on ur mob. Tell ur m8s. Txt TONE CHARITY to 8007 for nokias or POLY CHARITY for polys :zed 08701417012 profit 2 charity 
 user123456, Sydney,spam,8007 FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W4 5WQ norm 150p/tone 16+
 foodie246, Los Angeles,spam,83039 62735=Â£450 UK Break AccommodationVouchers terms & conditions apply. 2 claim you mustprovide your claim number which is 15541 
 moviegoer789, London,spam,85233 FREE>Ringtone!Reply REAL
 gamer123, New York,spam,87077: Kick off a new season with 2wks FREE goals & news to ur mobile! Txt ur club name to 87077 eg VILLA to 87077
 traveler246, Paris,spam,88066 FROM 88066 LOST 3POUND HELP
 bookworm246, San Francisco,spam,88800 and 89034 are premium phone services call 08718711108
 audiophile789, Berlin,spam,A Â£400 XMAS REWARD IS WAITING FOR YOU! Our computer has randomly picked you from our loyal mobile customers to receive a Â£400 reward. Just call 09066380611
 testimonialuser2, Sydney,spam,A Â£400 XMAS REWARD IS WAITING FOR YOU! Our computer has randomly picked you from our loyal mobile customers to receive a Â£400 reward. Just call 09066380611 
 shopper4567, Chicago,ham,"A famous quote : when you develop the ability to listen to 'anything' unconditionally without losing your temper or self confidence, it means you are ......... 'MARRIED'"
 musiclover1234, Paris,ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;"
 user98765, Toronto,spam,A link to your picture has been sent. You can also use http://alto18.co.uk/wave/wave.asp?o=44345
 traveler789, Paris,ham,"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8"
 foodlover2468, Mumbai,ham,Aaooooright are you at work?
 nostalgiacat123, Berlin,ham,aathi..where are you dear..
 user12345, Toronto,spam,"accordingly. I repeat, just text the word ok on your mobile phone and send"
 foodlover246, Mumbai,spam,Adult 18 Content Your video will be with you shortly
 tvfan123, Los Angeles,ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?
 musicenthusiast1, London,ham,Ah poop. Looks like ill prob have to send in my laptop to get fixed cuz it has a gpu problem
 user2468, Sydney,ham,AH POOR BABY!HOPE URFEELING BETTERSN LUV! PROBTHAT OVERDOSE OF WORK HEY GO CAREFUL SPK 2 U SN LOTS OF LOVEJEN XXX.
 thrillseeker3, Orlando,ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol
 buyer1234, Chicago,ham,"Aight yo, dats straight dogg"
 artlover123, Paris,ham,"Aight, I'll hit you up when I get some cash"
 foodcritic246, Mumbai,ham,"Aight, you close by or still down around alex's place?"
 relaxmusiclover, Berlin,ham,"Aiyo... U always c our ex one... I dunno abt mei, she haven reply... First time u reply so fast... Y so lucky not workin huh, got bao by ur sugardad ah...gee.. "
 happyuser123, Toronto,ham,All done? All handed in? Celebrations in full swing yet?
 travelenthusiast2, Sydney,ham,All e best 4 ur driving tmr :-)
 shopper567, Los Angeles,spam,"all the lastest from Stereophonics, Marley, Dizzee Racal, Libertines and The Strokes! Win Nookii games with Flirt!! Click TheMob WAP Bookmark or text WAP to 82468"
 bookworm7890, London,ham,All was well until slightly disastrous class this pm with my fav darlings! Hope day off ok. Coffee wld be good as can't stay late tomorrow. Same time + place as always?
 happyshopper1, New York,ham,Allo! We have braved the buses and taken on the trains and triumphed. I mean weâ€˜re in bâ€˜ham. Have a jolly good rest of week
 user98765, San Francisco,ham,"Almost there, see u in a sec"
 traveler789, Paris,ham,Alright i have a new goal now
 foodlover2468, Mumbai,ham,"Alright omw, gotta change my order to a half8th"
 nostalgiacat123, Berlin,ham,"Alright, I'll head out in a few minutes, text me where to meet you"
 user12345, Toronto,ham,Also are you bringing galileo or dobby
 @user123, New York,ham,"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched..."
 user456, Los Angeles,spam,Am new 2 club & dont fink we met yet Will B gr8 2 C U Please leave msg 2day wiv ur area 09099726553 reply promised CARLIE x CallsÂ£1/minMobsmore LKPOBOX177HP51FL
 moviefan789, London,ham,Am not interested to do like that.
 forumuser1, Toronto,ham,Any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employer's paperwork. Not cool at all. Please do not contact me again or I will report you to your supervisor.
 foodie22, Paris,ham,Any pain on urination any thing else?
 shopper123, San Francisco,ham,Anything lor... U decide...
 musiclover456, Berlin,ham,Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.
 testimonialuser1, Sydney,ham,Ãœ log off 4 wat. It's sdryb8i
 user123, New York,ham,Ãœ predict wat time Ã¼'ll finish buying?
 user456, Los Angeles,ham,Ãœ say until like dat i dun buy ericsson oso cannot oredi lar...
 bookworm789, London,ham,Ãœ wait 4 me in sch i finish ard 5..
 shopper789, San Francisco,ham,Appt is at &lt;TIME&gt; am. Not my fault u don't listen. I told u twice
 travelenthusiast1, Sydney,ham,Are you free now?can i call now?
 foodlover123, Mumbai,ham,Are you in castor? You need to see something
 musiclover789, Berlin,ham,Are you there in room.
 user789, Toronto,ham,Are you this much buzy
 thrillseeker1, Orlando,spam,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk
 @user124, New York,ham,"Arngd marriage is while u r walkin unfortuntly a snake bites u. bt love marriage is dancing in frnt of d snake &amp; sayin Bite me, bite me."
 user457, Los Angeles,spam,As a registered optin subscriber ur draw 4 Â£100 gift voucher will be entered on receipt of a correct ans to 80062 Whats No1 in the BBC charts
 moviefan790, London,spam,As a Registered Subscriber yr draw 4 a Â£100 gift voucher will b entered on receipt of a correct ans. When are the next olympics. Txt ans to 80062
 forumuser2, Toronto,spam,"As a SIM subscriber, you are selected to receive a Bonus! Get it delivered to your door, Txt the word OK to No: 88600 to claim. 150p/msg, EXP. 30Apr"
 foodie23, Paris,spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a Â£1500 Bonus Prize, call 09066364589"
 shopper124, San Francisco,spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a Â£1500 Bonus Prize, call 09066364589"
 musiclover457, Berlin,spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a Â£1500 Bonus Prize, call 09066368470"
 testimonialuser2, Sydney,ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there."
 user789, New York,ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there."
 user1122, Los Angeles,spam,As one of our registered subscribers u can enter the draw 4 a 100 G.B. gift voucher by replying with ENTER. To unsubscribe text STOP
 bookworm790, London,ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
 shopper790, San Francisco,ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
 travelenthusiast2, Sydney,ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
 foodlover124, Mumbai,ham,"Ask g or iouri, I've told the story like ten times already"
 musiclover790, Berlin,spam,ASKED 3MOBILE IF 0870 CHATLINES INCLU IN FREE MINS. INDIA CUST SERVs SED YES. L8ER GOT MEGA BILL. 3 DONT GIV A SHIT. BAILIFF DUE IN DAYS. I O Â£250 3 WANT Â£800
 user790, Toronto,ham,At home watching tv lor.
 thrillseeker2, Orlando,spam,"Auction round 4. The highest bid is now Â£54. Next maximum bid is Â£71. To bid, send BIDS e. g. 10 (to bid Â£10) to 83383. Good luck."
 buyer124, Chicago,ham,"Awesome, I remember the last time we got somebody high for the first time with diesel :V"
 musicfan457, Paris,ham,"Awesome, I'll see you in a bit"
 user1235, Sydney,spam,Babe: U want me dont u baby! Im nasty and have a thing 4 filthyguys. Fancy a rude time with a sexy bitch. How about we go slo n hard! Txt XXX SLO(4msgs)
 cinephile790, Los Angeles,spam,Back 2 work 2morro half term over! Can U C me 2nite 4 some sexy passion B4 I have 2 go back? Chat NOW 09099726481 Luv DENA Calls Â£1/minMobsmoreLKPOBOX177HP51FL
 shopper457, New York,spam,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu"
 booklover124, London,ham,Be happy there. I will come after noon
 buyer790, San Francisco,spam,"Bears Pic Nick, and Tom, Pete and ... Dick. In fact, all types try gay chat with photo upload call 08718730666 (10p/min). 2 stop texts call 08712460324"
 traveler457, Sydney,ham,Beerage?
 traveladdict2, Paris,spam,BIG BROTHER ALERT! The computer has selected u for 10k cash or #150 voucher. Call 09064018838. NTT PO Box CRO1327 18+ BT Landline Cost 150ppm mobiles vary
 foodie790, Mumbai,spam,Block Breaker now comes in deluxe format with new features and great graphics from T-Mobile. Buy for just Â£5 by replying GET BBDELUXE and take the challenge
 gymrat124, Berlin,ham,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... "
 user988, Toronto,spam,Bloomberg -Message center +447797706009 Why wait? Apply for your future http://careers. bloomberg.com
 thrillseeker3, Orlando,spam,Bloomberg -Message center +447797706009 Why wait? Apply for your future http://careers. bloomberg.com
 customer124, Chicago,spam,Boltblue tones for 150p Reply POLY# or MONO# eg POLY3 1. Cha Cha Slide 2. Yeah 3. Slow Jamz 6. Toxic 8. Come With Me or STOP 4 more tones txt MORE
 musiclover988, London,ham,BOO BABE! U ENJOYIN YOURJOB? U SEEMED 2 B GETTIN ON WELL HUNNY!HOPE URE OK?TAKE CARE & IÂ’LLSPEAK 2U SOONLOTS OF LOVEME XXXX.
 user7891, Sydney,ham,Book which lesson? then you msg me... I will call up after work or sth... I'm going to get specs. My membership is PX3748
 foodie124, Paris,ham,Booked ticket for pongal?
 shopper247, Los Angeles,ham,Boooo you always work. Just quit.
 bookworm568, London,spam,Bored housewives! Chat n date now! 0871750.77.11! BT-national rate 10p/min only from landlines!
 shopper7891, New York,spam,Bored housewives! Chat n date now! 0871750.77.11! BT-national rate 10p/min only from landlines!
 user9877, San Francisco,spam,"Bored of speed dating? Try SPEEDCHAT, txt SPEEDCHAT to 80155, if you don't like em txt SWAP and get a new chatter! Chat80155 POBox36504W45WQ 150p/msg rcd 16"
 musiclover7891, Sydney,ham,Both :) i shoot big loads so get ready!
 foodcritic124, Mumbai,spam,Bought one ringtone and now getting texts costing 3 pound offering more tones etc
 playlistlover457, Berlin,ham,Bring home some Wendy =D
 user24681, Toronto,spam,Burger King - Wanna play footy at a top stadium? Get 2 Burger King before 1st Sept and go Large or Super with Coca-Cola and walk out a winner
 thrillseeker790, Orlando,ham,Busy here. Trying to finish for new year. I am looking forward to finally meeting you...
 buyer7891, Chicago,ham,But am going to college pa. What to do. are else ill come there it self. Pa.
 musicfan568, London,ham,But i have to. I like to have love and arrange.
 user123457, Sydney,ham,But that's on ebay it might be less elsewhere.
 foodie247, Los Angeles,spam,Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase
 moviegoer790, London,spam,Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase
 gamer124, New York,ham,By monday next week. Give me the full gist
 traveler247, Paris,spam,CALL 09090900040 & LISTEN TO EXTREME DIRTY LIVE CHAT GOING ON IN THE OFFICE RIGHT NOW TOTAL PRIVACY NO ONE KNOWS YOUR [sic] LISTENING 60P MIN 24/7MP 0870753331018+
 bookworm247, San Francisco,spam,"Call 09094100151 to use ur mins! Calls cast 10p/min (mob vary). Service provided by AOM, just GBP5/month. AOM Box61,M60 1ER until u stop. Ages 18+ only!"
 audiophile790, Berlin,spam,Call 09095350301 and send our girls into erotic ecstacy. Just 60p/min. To stop texts call 08712460324 (nat rate)
 testimonialuser3, Sydney,spam,Call FREEPHONE 0800 542 0578 now!
 shopper4568, Chicago,spam,Call from 08702490080 - tells u 2 call 09066358152 to claim Â£5000 prize. U have 2 enter all ur mobile & personal details @ the prompts. Careful!
 musiclover1235, Paris,spam,Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access!
 user98766, Toronto,spam,Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access! www.telediscount.co.uk
 traveler790, Paris,ham,"Call me when you/carlos is/are here, my phone's vibrate is acting up and I might not hear texts"
 foodlover2469, Mumbai,spam,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days
 nostalgiacat124, Berlin,spam,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.
 user12346, Toronto,spam,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.
 foodlover247, Mumbai,spam,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.
 tvfan124, Los Angeles,spam,Can U get 2 phone NOW? I wanna chat 2 set up meet Call me NOW on 09096102316 U can cum here 2moro Luv JANE xx CallsÂ£1/minmoremobsEMSPOBox45PO139WA
 musicenthusiast2, London,ham,Can you open the door?
 user2469, Sydney,ham,Can you say what happen
 thrillseeker4, Orlando,ham,Cant think of anyone with * spare room off * top of my head
 buyer1235, Chicago,ham,Carlos'll be here in a minute if you still need to buy
 artlover124, Paris,spam,Cashbin.co.uk (Get lots of cash this weekend!) www.cashbin.co.uk Dear Welcome to the weekend We have got our biggest and best EVER cash give away!! These..
 foodcritic247, Mumbai,ham,Cause I'm not freaky lol
 relaxmusiclover, Berlin,spam,CDs 4u: Congratulations ur awarded Â£500 of CD gift vouchers or Â£125 gift guaranteed & Freeentry 2 Â£100 wkly draw xt MUSIC to 87066 TnCs www.ldew.com1win150ppmx3age16 
 happyuser124, Toronto,ham,Check audrey's status right now
 travelenthusiast3, Sydney,spam,Check Out Choose Your Babe Videos @ sms.shsex.netUN fgkslpoPW fgkslpo
 shopper568, Los Angeles,ham,Check with nuerologist.
 bookworm7891, London,spam,"Claim a 200 shopping spree, just call 08717895698 now! Have you won! MobStoreQuiz10ppm"
 happyshopper2, New York,spam,CLAIRE here am havin borin time & am now alone U wanna cum over 2nite? Chat now 09099725823 hope 2 C U Luv CLAIRE xx CallsÂ£1/minmoremobsEMSPOBox45PO139WA
 user98766, San Francisco,spam,"cmon babe, make me horny, *turn* me on! Txt me your fantasy now babe -) Im hot, sticky and need you now. All replies cost Â£1.50. 2 cancel send STOP"
 traveler790, Paris,ham,"Coffee cake, i guess..."
 foodlover2469, Mumbai,spam,Collect your VALENTINE'S weekend to PARIS inc Flight & Hotel + Â£200 Prize guaranteed! Text: PARIS to No: 69101. www.rtf.sphosting.com
 nostalgiacat124, Berlin,ham,Come by our room at some point so we can iron out the plan for this weekend
 user12346, Toronto,ham,"Come to mu, we're sorting out our narcotics situation"
 @user124, New York,spam,"complimentary 4 STAR Ibiza Holiday or Â£10,000 cash needs your URGENT collection. 09066364349 NOW from Landline not to lose out! Box434SK38WP150PPM18+"
 user457, Los Angeles,spam,"Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p"
 moviefan790, London,spam,"Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p"
 forumuser2, Toronto,spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!"
 foodie23, Paris,spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!"
 shopper124, San Francisco,spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! "
 musiclover457, Berlin,spam,"Congrats! 2 mobile 3G Videophones R yours. call 09061744553 now! videochat wid ur mates, play java games, Dload polyH music, noline rentl. bx420. ip4. 5we. 150pm"
 testimonialuser2, Sydney,spam,"Congrats! 2 mobile 3G Videophones R yours. call 09061744553 now! videochat wid ur mates, play java games, Dload polyH music, noline rentl. bx420. ip4. 5we. 150pm"
 user789, New York,spam,"Congrats! 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid your mates, play java games, Dload polyPH music, noline rentl."
 user1122, Los Angeles,spam,Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX
 bookworm790, London,spam,Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX
 shopper790, San Francisco,spam,"Congratulations - Thanks to a good friend U have WON the Â£2,000 Xmas prize. 2 claim is easy, just call 08712103738 NOW! Only 10p per minute. BT-national-rate"
 travelenthusiast2, Sydney,spam,Congratulations U can claim 2 VIP row A Tickets 2 C Blu in concert in November or Blu gift guaranteed Call 09061104276 to claim TS&Cs www.smsco.net costÂ£3.75max 
 foodlover124, Mumbai,spam,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066
 musiclover790, Berlin,spam,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
 user790, Toronto,spam,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
 thrillseeker2, Orlando,spam,Congratulations ur awarded either a yrs supply of CDs from Virgin Records or a Mystery Gift GUARANTEED Call 09061104283 Ts&Cs www.smsco.net Â£1.50pm approx 3mins
 @user125, New York,spam,Congratulations ur awarded either Â£500 of CD gift vouchers & Free entry 2 our Â£100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com 1 win150ppmx3age16
 user458, Los Angeles,spam,Congratulations ur awarded either Â£500 of CD gift vouchers & Free entry 2 our Â£100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
 moviefan791, London,spam,Congratulations YOU'VE Won. You're a Winner in our August Â£1000 Prize Draw. Call 09066660100 NOW. Prize Code 2309.
 forumuser3, Toronto,spam,"Congratulations! Thanks to a good friend U have WON the Â£2,000 Xmas prize. 2 claim is easy, just call 08718726971 NOW! Only 10p per minute. BT-national-rate."
 foodie24, Paris,spam,"Congratulations! Thanks to a good friend U have WON the Â£2,000 Xmas prize. 2 claim is easy, just call 08718726978 NOW! Only 10p per minute. BT-national-rate"
 shopper125, San Francisco,ham,"Cool, text me when you're parked"
 musiclover458, Berlin,ham,"Cool, text me when you're ready"
 testimonialuser3, Sydney,ham,Cool. So how come you havent been wined and dined before?
 user1455, New York,ham,Cos i want it to be your thing
 user1788, Los Angeles,ham,cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full & im still waitin 4 1. Pete x
 bookworm791, London,spam,Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY Â£10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg
 shopper791, San Francisco,ham,Customer place i will call you.
 travelenthusiast3, Sydney,spam,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery
 foodlover125, Mumbai,spam,"Customer service announcement. We recently tried to make a delivery to you but were unable to do so, please call 07090298926 to re-schedule. Ref:9307622"
 musiclover791, Berlin,spam,"Customer service announcement. We recently tried to make a delivery to you but were unable to do so, please call 07099833605 to re-schedule. Ref:9280114"
 user791, Toronto,spam,dating:i have had two of these. Only started after i sent a text to talk sport radio last week. Any connection do you think or coincidence?
 thrillseeker3, Orlando,spam,Dear 0776xxxxxxx U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs
 buyer125, Chicago,spam,Dear 0776xxxxxxx U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs 
 musicfan458, Paris,spam,Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm
 user1236, Sydney,ham,Dear good morning now only i am up
 cinephile791, Los Angeles,ham,Dear how is chechi. Did you talk to her
 shopper458, New York,ham,Dear i have reache room
 booklover125, London,spam,"Dear Matthew please call 09063440451 from a landline, your complimentary 4*Lux Tenerife holiday or Â£1000 CASH await collection. ppm150 SAE T&Cs Box334 SK38XH."
 buyer791, San Francisco,ham,Dear reached railway. What happen to you
 traveler458, Sydney,spam,Dear Subscriber ur draw 4 Â£100 gift voucher will b entered on receipt of a correct ans. When was Elvis Presleys Birthday? TXT answer to 80062
